official_contest_name,official_option,ballot_option
Governor and Lieutenant Governor ,Ron DeSantis,"Ron DeSantis REP
Jeanette Nunez"
Governor and Lieutenant Governor ,Andrew Gillum,"Andrew Gillum DEM
Chris King"
Governor and Lieutenant Governor ,Darcy G. Richardson,"Darcy G. Richardson REF
Nancy Argenziano"
Governor and Lieutenant Governor ,"Kyle ""KC"" Gibson","Kyle ""KC"" Gibson NPA
Ellen Wilds"
Governor and Lieutenant Governor ,Ryan Christopher Foley,"Ryan Christopher Foley NPA
John Tutton Jr"
Governor and Lieutenant Governor ,Bruce Stanley ,"Bruce Stanley NPA
Ryan Howard McJury"
